"","forecast_date","target","target_end_date","location","type","quantile","value"
"1%...1","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.01,0
"2.5%...2","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.025,0
"5%...3","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.05,0
"10%...4","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.1,0
"15%...5","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.15,0
"20%...6","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.2,0
"25%...7","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.25,0
"30%...8","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.3,0
"35%...9","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.35,0
"40%...10","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.4,0
"45%...11","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.45,0
"50%...12","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.5,0
"55%...13","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.55,0
"60%...14","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.6,0
"65%...15","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.65,0
"70%...16","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.7,0
"75%...17","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.75,0
"80%...18","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.8,0
"85%...19","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.85,0
"90%...20","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.9,0
"95%...21","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.95,0.05
"97.5%...22","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.975,1
"99%...23","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AL","quantile",0.99,1
"1%...24","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.01,0
"2.5%...25","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.025,0
"5%...26","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.05,0
"10%...27","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.1,0
"15%...28","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.15,0
"20%...29","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.2,0
"25%...30","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.25,0
"30%...31","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.3,0
"35%...32","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.35,0
"40%...33","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.4,0
"45%...34","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.45,0
"50%...35","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.5,0
"55%...36","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.55,0
"60%...37","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.6,0
"65%...38","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.65,0
"70%...39","2023-04-30","May WNV neuroinvasive disease cases",2023-05-31,"AR","quantile",0.7,0
