"location","forecast_date","target_end_date","target","type","quantile","values"
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.2,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.25,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.3,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.35,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.4,0
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.45,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.5,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.55,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.6,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.65,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.7,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.75,1
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.8,2
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.85,2
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.9,2
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.95,3
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.975,3
"Alabama","2023-04-30","2023-5-31","May WNV neuroinvasive disease cases","quantile",0.99,4
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.2,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.25,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.3,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.35,0
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.4,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.45,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.5,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.55,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.6,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.65,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.7,1
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.75,2
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.8,2
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.85,2
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.9,2
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.95,3
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.975,3
"Alabama","2023-04-30","2023-6-30","June WNV neuroinvasive disease cases","quantile",0.99,4
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.15,0
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.2,0
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.25,1
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.3,1
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.35,1
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.4,1
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.45,2
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.5,2
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.55,2
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.6,3
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.65,3
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.7,4
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.75,4
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.8,5
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.85,6
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.9,7
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.95,9
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.975,11
"Alabama","2023-04-30","2023-7-31","July WNV neuroinvasive disease cases","quantile",0.99,13
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.01,0
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.025,0
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.05,0
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.1,0
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.15,1
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.2,1
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.25,1
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.3,2
"Alabama","2023-04-30","2023-8-31","August WNV neuroinvasive disease cases","quantile",0.35,2
