target_end_date,value,location,quantile,target,type,forecast_date
2023-07-31,0.308094218,Alabama,0.01,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.379839156,Alabama,0.025,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.473999665,Alabama,0.05,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.566907335,Alabama,0.1,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.70231037,Alabama,0.15,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,0.824969895,Alabama,0.2,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.071696895,Alabama,0.25,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.253791662,Alabama,0.3,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.367758316,Alabama,0.35,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.451058325,Alabama,0.4,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.570925452,Alabama,0.45,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.674981903,Alabama,0.5,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.810194591,Alabama,0.55,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,1.991612705,Alabama,0.6,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,2.124235564,Alabama,0.65,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,2.356296792,Alabama,0.7,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,2.727758948,Alabama,0.75,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,3.298452699,Alabama,0.8,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,4.000695226,Alabama,0.85,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,6.481293815,Alabama,0.9,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,9.705255401,Alabama,0.95,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,11.35336656,Alabama,0.975,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-07-31,13.86180693,Alabama,0.99,July WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.411085332,Alabama,0.01,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.458807212,Alabama,0.025,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.575547418,Alabama,0.05,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.69002306,Alabama,0.1,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,0.880771205,Alabama,0.15,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.03117442,Alabama,0.2,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.213701786,Alabama,0.25,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.489994304,Alabama,0.3,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.666256607,Alabama,0.35,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.801517041,Alabama,0.4,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,1.944103003,Alabama,0.45,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.1311172,Alabama,0.5,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.343904591,Alabama,0.55,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.520432256,Alabama,0.6,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,2.766074832,Alabama,0.65,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,3.087071205,Alabama,0.7,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,3.366017697,Alabama,0.75,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,4.113626409,Alabama,0.8,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,5.15552759,Alabama,0.85,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,7.877661866,Alabama,0.9,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,11.71914953,Alabama,0.95,August WNV neuroinvasive disease cases,quantile,2023-06-30
2023-08-31,15.0639771,Alabama,0.975,August WNV neuroinvasive disease cases,quantile,2023-06-30
