location,forecast_date,target_end_date,target,type,quantile,value
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.01,8.167682609
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.025,8.379663201
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.05,8.561748521
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.1,8.865814921
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.15,9.07328723
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.2,9.25384204
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.25,9.389296044
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.3,9.547486993
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.35,9.664629446
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.4,9.795482502
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.45,9.926748973
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.5,10.02226756
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.55,10.13251068
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.6,10.23599145
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.65,10.34986481
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.7,10.50940818
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.75,10.6692515
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.8,10.83888958
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.85,11.06405317
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.9,11.38672296
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.95,11.74104986
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.975,12.11533006
Alabama,2023-05-31,2023-06-30,June WNV neuroinvasive disease cases ,quantile,0.99,12.55599696
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.01,9.05896243
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.025,9.2357269
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.05,9.494563249
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.1,9.82654351
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.15,10.01492838
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.2,10.23499708
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.25,10.38966512
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.3,10.54777068
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.35,10.70411419
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.4,10.80977689
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.45,10.96442214
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.5,11.06240372
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.55,11.18207482
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.6,11.31197678
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.65,11.42103117
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.7,11.58971486
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.75,11.79342261
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.8,11.977899
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.85,12.19242822
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.9,12.57179487
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.95,12.96953919
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.975,13.35645459
Alabama,2023-05-31,2023-07-31,July WNV neuroinvasive disease cases ,quantile,0.99,13.92531129
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.01,8.09628805
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.025,8.251200759
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.05,8.506820134
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.1,8.78407314
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.15,8.996266612
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.2,9.174150055
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.25,9.303655528
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.3,9.441426088
Alabama,2023-05-31,2023-08-31,August WNV neuroinvasive disease cases ,quantile,0.35,9.56967943
