,location,forecast_date,target_end_date,target,type,quantile,value
0,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.01,0
1,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.025,0
2,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.05,0
3,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.1,0.1054106771905462
4,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.15,0.2234321363870073
5,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.2,0.2847922274479885
6,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.25,0.3105139011303952
7,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.3,0.389969108086338
8,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.35,0.4217349001492568
9,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.4,0.4423355823227775
10,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.45,0.462616432110738
11,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.5,0.53888692784578
12,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.55,0.5870650620390743
13,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.6,0.651025871600606
14,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.65,0.6921115933238079
15,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.7,0.7248155717368842
16,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.75,0.7646946357047932
17,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.8,0.8217419875352246
18,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.85,0.9978586236758265
19,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.9,1.0753825448774703
20,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.95,1.159437828148724
21,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.975,1.3369534739686346
22,Alabama,2023-04-30,2023-05-31,May WNV neuroinvasive disease cases,quantile,0.99,1.668677644717884
23,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.01,0.1048653528412372
24,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.025,0.1368149853781538
25,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.05,0.2666610583016128
26,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.1,0.5059408353356071
27,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.15,0.6014253620732316
28,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.2,0.6224100947217184
29,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.25,0.7030950961290293
30,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.3,0.7374342738128193
31,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.35,0.7627215974301993
32,Alabama,2023-04-30,2023-06-30,June WNV neuroinvasive disease cases,quantile,0.4,0.8019798490042215
