location,forecast_date,target_end_date,target,type,quantile,value
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.01,0
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.025,0
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.05,0
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.1,0
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.15,0.0542521122843027
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.2,0.110895636677742
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.25,0.1353738531470298
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.3,0.1750250399112701
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.35,0.1975181557238101
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.4,0.2025328695774078
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.45,0.2164012290537357
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.5,0.3013348281383514
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.55,0.3214235842227936
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.6,0.3783548951148986
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.65,0.4038855612277984
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.7,0.4395741552114484
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.75,0.5750702470541
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.8,0.5773057699203491
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.85,0.6619505107402801
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.9,1.0681691765785215
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.95,1.133267879486084
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.975,1.2383106082677835
Alabama,2023-07-31,2023-07-31,July WNV neuroinvasive disease cases,quantile,0.99,1.297851039171219
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.01,5.545385546684265
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.025,6.324412560462951
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.05,6.8884645938873295
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.1,7.0564052104949955
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.15,7.126223921775818
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.2,7.466959571838379
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.25,7.630138278007507
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.3,7.775275230407715
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.35,8.197330951690674
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.4,8.575894927978515
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.45,8.814146995544434
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.5,9.05499792098999
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.55,9.24293794631958
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.6,9.430849647521972
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.65,9.612780237197876
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.7,9.8271990776062
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.75,10.206682920455933
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.8,10.532161140441897
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.85,11.0076913356781
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.9,11.160201358795169
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.95,13.834109735488893
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.975,14.451086449623103
Alabama,2023-07-31,2023-08-31,August WNV neuroinvasive disease cases,quantile,0.99,14.809643344879152
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.01,1.0752812039852142
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.025,1.208457988500595
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.05,1.5947560906410216
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.1,1.8496450781822205
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.15,1.9324366450309751
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.2,2.071929359436035
Alabama,2023-07-31,2023-09-30,September WNV neuroinvasive disease cases,quantile,0.25,2.19957584142685
