location,forecast_date,target_end_date,type,target,quantile,value
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,0
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,1
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,1
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,1
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,1
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,2
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,2
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,3
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,4
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,6
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,8
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,12
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,24
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,46
Alabama,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,98
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,0
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,1
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,1
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,1
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,2
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,2
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,3
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,4
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,5
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,7
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,10
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,15
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,30
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,52
Arkansas,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,104
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,1
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,1
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,2
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,2
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,3
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,4
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,5
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,7
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,8
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,11
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,14
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,18
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,24
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,34
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,49
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,81
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,166
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,298
Arizona,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,537
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,1
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,2
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,2
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,3
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,4
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,6
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,7
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,10
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,12
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,16
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,20
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,27
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,37
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,51
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,74
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,120
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,246
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,443
California,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,874
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,1
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,1
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,2
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,2
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,3
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,4
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,5
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,6
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,8
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,11
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,14
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,19
Colorado,2023-06-30,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,29
