location,forecast_date,target_end_date,type,target,quantile,value
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.01,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.025,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.05,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.1,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.15,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.2,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.25,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.3,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.35,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.4,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.45,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.5,0
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.55,1
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.6,1
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.65,1
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.7,1
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.75,2
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.8,3
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.85,4
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.9,6
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.95,11
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.975,21
Alabama,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.99,41
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.01,0
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.025,0
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.05,0
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.1,0
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.15,0
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.2,1
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.25,1
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.3,1
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.35,2
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.4,3
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.45,4
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.5,5
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.55,6
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.6,8
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.65,10
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.7,13
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.75,17
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.8,24
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.85,36
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.9,57
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.95,116
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.975,216
Arizona,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.99,446
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.01,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.025,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.05,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.1,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.15,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.2,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.25,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.3,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.35,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.4,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.45,0
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.5,1
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.55,1
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.6,1
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.65,1
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.7,2
Arkansas,2023-10-31,2023-10-31,quantile,October WNV neuroinvasive disease cases,0.75,2
