location,forecast_date,target_end_date,type,target,quantile,value
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,0
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,1
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,1
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,1
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,2
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,2
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,3
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,4
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,5
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,8
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,12
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,24
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,43
Alabama,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,83
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,0
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,1
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,1
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,1
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,1
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,2
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,2
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,3
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,4
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,6
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,8
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,13
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,26
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,48
Arkansas,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,95
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,1
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,1
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,2
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,2
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,3
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,4
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,5
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,7
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,8
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,11
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,14
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,19
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,25
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,35
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,50
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,82
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,164
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,308
Arizona,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,632
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,1
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,2
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,2
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,3
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,4
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,6
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,7
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,10
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,13
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,16
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,21
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,28
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,38
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,53
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,79
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,129
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,271
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,512
California,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,1107
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,1
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.3,1
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.35,2
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.4,2
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.45,3
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.5,4
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.55,5
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.6,6
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.65,8
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.7,10
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.75,13
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.8,18
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.85,27
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.9,44
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.95,89
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.975,165
Colorado,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.99,337
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.01,0
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.025,0
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.05,0
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.1,0
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.15,0
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.2,0
Connecticut,2023-07-31,2023-07-31,quantile,July WNV neuroinvasive disease cases,0.25,0
